studno,studentname,birthday,degree,major,unitsearned
2003-41196,Doro Andreuzzi,1995-11-21,Bachelor of Science in Industrial Engineering,dapibus nulla suscipit,3
2016-05981,Iggie Broadbury,1997-12-19,Bachelor of Science in Zoology,duis,161
2019-72903,Garwin Stiant,1996-05-23,Bachelor of Science in Biology,velit,114
1998-09377,Marijn Moth,1997-04-12,Bachelor of Science in Agricultural Chemistry,dui proin,62
2004-60118,Charmine Billiard,2000-04-05,Bachelor of Arts in Philosophy,fusce lacus purus,83
2019-37002,Dani Bettaney,2000-02-22,Bachelor of Science in Home Technology,vestibulum,34
2013-92433,Marylinda Dufour,1992-01-13,Bachelor of Science in Food Technology,elit sodales scelerisque,138
2015-55297,Aksel Eastgate,1996-11-22,Bachelor of Science in Agricultural Biotechnology,ipsum ac tellus,152
2008-90828,Kimberley Dwane,1998-01-23,Bachelor of Science in Agricultural Education,nisl,97
2003-44295,Currey Satch,1996-09-16,Bachelor of Science in Civil Engineering,et ultrices,65
2009-28755,Gauthier Deschelle,1992-01-10,Bachelor of Science in Applied Mathematics,in hac,176
1995-15465,Symon Dever,1994-04-16,Bachelor of Science in Agricultural Education,viverra diam,37
1993-97869,Odele Cockburn,1991-09-01,Bachelor of Science in Chemical Engineering,magnis dis parturient,62
2012-51147,Ange Dranfield,1990-09-26,Bachelor of Science in Biology,eu orci mauris,65
2016-87504,Lawton Di Franceschi,1997-01-25,Bachelor of Science in Computer Science,rutrum nulla,182
2008-13037,Nessie Lyste,1992-12-20,Bachelor of Science in Civil Engineering,proin leo odio,199
2003-03718,Budd Haggett,1991-12-07,Bachelor of Science in Agricultural Business,proin leo odio,178
1998-96440,Bethany Walthall,1998-10-16,Bachelor of Science in Agricultural Chemistry,curae donec pharetra,11
1995-41748,Rosy Dowbekin,1999-03-13,Bachelor of Science in Civil Engineering,ridiculus,74
1994-05275,Margalit Ellerker,1996-06-23,Bachelor of Science in Industrial Engineering,orci vehicula condimentum,195
2014-47781,Arabel Gigg,1994-08-10,Bachelor of Science in Economics,dui,90
1999-37953,Dyann Ellgood,1997-07-16,Bachelor of Science in Sugar Technology,dapibus,48
1996-92675,Kissee Quartley,1996-03-06,Bachelor of Arts in Communication Arts,pede morbi porttitor,80
2012-64289,Zebedee Rehorek,1999-05-23,Bachelor of Science in Agricultural Economics,in,64
1999-36028,Adelaide Stove,1998-04-21,Bachelor of Science in Industrial Engineering,luctus et ultrices,131
2007-65381,Bernette Boughey,1991-09-01,Bachelor of Science in Agricultural Business,nec sem,198
2016-66886,Jacki Kelcey,1995-10-02,Bachelor of Science in Agricultural Extension,vitae,170
2015-89060,Carmita Steadman,1991-01-08,Bachelor of Arts in Communication Arts,aenean fermentum,191
2012-66191,Mariette Harroll,1998-06-29,Bachelor of Science in Food Technology,viverra eget congue,112
1999-71078,Kass Domek,1991-10-22,Bachelor of Arts in Communication Arts,libero convallis eget,105
1993-74589,Cristie Neachell,1999-11-19,Bachelor of Science in Agriculture,enim,111
1996-77638,Mannie Dilrew,1992-03-18,Bachelor of Science in Food Technology,nulla elit,8
1995-64145,Willyt Sainsberry,1999-01-19,Bachelor of Arts in Sociology,vitae nisl,169
2011-35607,Terese Owthwaite,2000-10-07,Bachelor of Arts in Sociology,faucibus orci luctus,50
2015-52760,Coraline Slowly,1993-09-15,Bachelor of Science in Forestry,pellentesque,143
2011-78761,Care Smither,2000-02-21,Bachelor of Science in Home Technology,rhoncus aliquam lacus,20
2012-18021,Vin Blest,1999-01-31,Bachelor of Arts in Sociology,cum sociis,165
2009-51135,Tallie Witherbed,1996-06-14,Bachelor of Science in Economics,luctus et,12
2016-59875,Niccolo Wooland,1999-12-07,Bachelor of Science in Nutrition,porttitor lorem,38
2008-93513,Rhodie Jarred,1999-04-29,Bachelor of Science in Biology,mauris ullamcorper,155
2019-67902,Analise Nealon,1993-05-02,Bachelor of Arts in Sociology,pede lobortis ligula,37
1997-71061,Elyn Mayworth,1995-03-22,Bachelor of Science in Economics,est et tempus,123
2011-52838,Flori Gehringer,1998-09-08,Bachelor of Science in Applied Mathematics,sapien a,154
2017-26447,Melissa Falkinder,1991-10-29,Bachelor of Science in Forest Products Engineering,hac,193
1990-66435,Dinah Goldby,1997-10-08,Bachelor of Science in Food Technology,cursus,10
2014-82114,Theodoric Grodden,1992-08-02,Bachelor of Science in Zoology,id,70
2009-45901,Noelani Heibel,1992-05-19,Bachelor of Science in Sugar Technology,nunc,171
1994-53700,Bonita Kneeland,1992-10-09,Bachelor of Science in Food Technology,justo eu,86
2003-81277,Abagael Kwietek,1996-11-13,Bachelor of Science in Agricultural Business,rutrum at,32
2015-58228,Harlin Pulfer,1998-12-30,Bachelor of Science in Zoology,justo,91
2018-63957,Griffin Vakhonin,1990-12-01,Bachelor of Science in Forestry,volutpat,91
2004-88292,Iolanthe Grandison,1991-03-16,Bachelor of Science in Civil Engineering,luctus ultricies eu,80
2012-54878,Lenette MacChaell,1995-01-18,Bachelor of Science in Food Technology,turpis donec,44
2013-96646,Turner Aksell,1993-09-01,Bachelor of Science in Economics,faucibus orci,17
2002-06739,Delphinia Petrik,1999-06-11,Bachelor of Science in Agricultural Business,orci,103
2012-85090,Wileen Riddlesden,1998-03-01,Bachelor of Arts in Communication Arts,pellentesque quisque porta,95
2017-01727,Juliana Kirtland,1999-06-08,Bachelor of Science in Agricultural Business,dui,48
2008-43722,Jenica Dumphry,1999-01-23,Bachelor of Science in Agricultural Business,ultricies eu,168
1992-65084,Prue Cressingham,1993-05-04,Bachelor of Science in Electrical Engineering,tellus,109
1990-42236,Herta Gaskin,1997-01-01,Bachelor of Science in Math and Science Teaching,cubilia,27
1994-21300,Amos Caddens,1994-12-29,Bachelor of Science in Agricultural Engineering,etiam,24
2014-19235,Sammy Reasun,1992-10-07,Bachelor of Science in Human Ecology,neque,161
2018-77023,Rafaello Westerman,1996-02-16,Bachelor of Science in Zoology,mattis odio,99
2013-69523,Micheline Commusso,2000-06-18,Bachelor of Science in Statistics,potenti nullam,30
2000-77660,Ramsey Kitchenman,2000-11-24,Bachelor of Science in Chemical Engineering,massa id,174
2013-69494,Donielle Flarity,1991-06-04,Bachelor of Science in Agricultural Extension,lacus morbi quis,4
2015-46282,Lisette Boater,1996-02-14,Bachelor of Science in Human Ecology,platea dictumst,49
1994-65534,Krysta Karpf,1990-07-13,Bachelor of Science in Agricultural Business,amet consectetuer adipiscing,107
1994-08456,Louisette Gauvain,1990-11-02,Bachelor of Science in Agricultural Economics,ligula,83
2015-10781,Harold Commucci,1997-01-27,Bachelor of Science in Computer Science,eleifend pede libero,126
2017-22370,Trish Eddowes,1993-07-15,Bachelor of Science in Applied Physics,pede ullamcorper augue,140
2015-69751,Marijn Luttgert,1994-09-05,Bachelor of Science in Agriculture,eget congue,174
2002-35027,Sanders Pantin,1992-08-09,Bachelor of Science in Home Technology,mauris enim,28
2006-60192,Nanette Mickan,1999-05-10,Bachelor of Science in Agricultural Economics,eget rutrum at,187
1995-88251,Andreana McTrustrie,1992-04-01,Bachelor of Science in Agriculture,maecenas ut massa,37
2003-90802,Alvira Skurray,1997-11-29,Bachelor of Arts in Philosophy,in tempus sit,104
2004-96762,Evangelina Mattiessen,2000-07-31,Bachelor of Science in Electrical Engineering,sit,196
1996-04906,Steffen Speed,1995-10-12,Bachelor of Science in Agribusiness Management,ut,117
2008-22762,Prisca Iban,1990-10-10,Bachelor of Science in Agricultural Education,nulla tellus,64
2000-02048,Elyssa Scammonden,1993-04-16,Bachelor of Science in Agricultural and Biosystems Engineering,rhoncus aliquam lacus,79
1999-57756,Kylie MacRedmond,1991-07-25,Bachelor of Science in Agricultural Extension,massa,116
2005-09513,Walden Borris,1990-04-01,Bachelor of Science in Agricultural Economics,ultrices libero,165
2018-13382,Art Pawelec,1993-01-22,Bachelor of Science in Math and Science Teaching,molestie,132
2002-60943,Josey Alliban,1991-04-04,Bachelor of Science in Chemistry,justo maecenas rhoncus,74
2007-86337,Ange Ochterlonie,1996-10-04,Bachelor of Science in Home Technology,vitae nisl aenean,87
1993-24364,Dani Widdowes,1990-10-04,Bachelor of Science in Agricultural Economics,odio in hac,35
2007-92084,Graig Spandley,1991-10-04,Bachelor of Science in Zoology,nunc,83
2011-90804,Antoni Domenichelli,1992-03-20,Bachelor of Science in Agribusiness Management,risus auctor sed,181
2007-14238,Ole Semechik,1999-07-14,Bachelor of Science in Agricultural Business,dapibus at,164
1990-87130,Gerhardt Dansie,1996-09-15,Bachelor of Science in Applied Mathematics,cum sociis,165
2018-80281,Silas Sapson,1995-03-25,Bachelor of Arts in Sociology,tortor sollicitudin mi,76
2015-78147,Floris Behrendsen,1995-04-17,Bachelor of Science in Biology,praesent blandit,133
2005-23499,Marianne Wyllt,2000-06-11,Bachelor of Science in Zoology,turpis eget,101
2011-68916,Nicolina Balderston,1996-02-21,Bachelor of Science in Applied Mathematics,donec,176
1994-43568,Jaime Baddeley,1999-11-06,Bachelor of Science in Agribusiness Management,eros,127
2007-49959,Case Ingrey,1998-05-18,Bachelor of Science in Botany,praesent lectus,156
2012-95984,Ardisj Iacomo,1996-03-06,Bachelor of Science in Applied Mathematics,a,112
2016-47893,Jeremy Roberto,1996-03-16,Bachelor of Science in Applied Mathematics,aenean,158
2007-33517,Cyril Gotcliff,1999-07-20,Bachelor of Science in Home Technology,quisque ut erat,159
2015-86343,Tamarra Bucknell,1994-05-17,Bachelor of Science in Electrical Engineering,quis odio consequat,18
2017-46174,Coretta Troake,2000-11-13,Bachelor of Science in Forestry,donec,45
1996-56597,Bartlet Royl,1990-06-27,Bachelor of Science in Electrical Engineering,eget rutrum at,7
2000-12283,Babbie Spradbery,1994-05-24,Bachelor of Science in Industrial Engineering,nascetur ridiculus mus,136
2003-29633,Gretna Brunet,1990-11-03,Bachelor of Science in Math and Science Teaching,massa id,133
2015-21585,Ramon Scottesmoor,1993-02-27,Bachelor of Science in Agricultural Biotechnology,vel,171
2018-66560,Markus Keeley,1994-12-02,Bachelor of Science in Agricultural Extension,in,110
2012-71857,Carlo Zanicchelli,1994-11-18,Bachelor of Science in Economics,mauris lacinia sapien,8
1995-93070,Mellisent Swanbourne,1994-02-05,Bachelor of Science in Applied Mathematics,tincidunt,29
1996-28519,Darryl Speight,1993-05-29,Bachelor of Science in Sugar Technology,congue elementum in,98
2000-38006,Ira Ellams,1995-04-02,Bachelor of Science in Development Communication,sed vestibulum sit,133
2004-93994,Lanni Casajuana,1998-03-25,Bachelor of Science in Botany,interdum mauris,45
2011-53589,Gualterio Carnoghan,1992-07-23,Bachelor of Science in Biology,quis,148
2010-79971,Lauritz Tidman,2000-07-06,Bachelor of Science in Economics,est,75
2008-46209,Guinevere Norvill,1995-03-05,Bachelor of Science in Sugar Technology,cras,5
1990-99803,Rock Callaby,1994-12-15,Bachelor of Science in Agricultural Engineering,ullamcorper,68
2002-50875,Dru Kilpatrick,1997-01-28,Bachelor of Science in Civil Engineering,potenti,42
1994-21252,Claudian Teml,2000-11-28,Bachelor of Science in Chemistry,dui maecenas tristique,108
2019-69421,Alene Merigon,1995-04-02,Bachelor of Science in Agricultural Extension,habitasse platea dictumst,39
1998-45293,Hugh Powys,1990-07-22,Bachelor of Science in Zoology,ipsum praesent,63
2012-96086,Lyndell Molfino,1996-10-07,Bachelor of Science in Applied Mathematics,dictumst morbi,153
2017-01305,Katusha Rickarsey,1991-04-10,Bachelor of Arts in Sociology,elit,73
2002-14543,Brad Able,1999-11-15,Bachelor of Science in Agricultural and Biosystems Engineering,elit,66
2004-08052,Norman Joincey,1995-03-21,Bachelor of Arts in Sociology,cursus urna ut,184
2018-21211,Clary Vanyashin,1992-05-22,Bachelor of Science in Civil Engineering,urna pretium nisl,80
2016-19599,Ragnar Yaneev,1990-07-03,Bachelor of Arts in Sociology,in,61
2013-09568,Oswald Bernard,1992-02-29,Bachelor of Science in Forest Products Engineering,nulla justo aliquam,197
1998-86376,Casi Allbut,2000-07-13,Bachelor of Science in Food Technology,vitae,40
2018-74376,Angelita Coldbreath,1994-04-14,Bachelor of Science in Agricultural Extension,blandit nam,178
2015-66252,Abbot Dumke,1994-03-24,Bachelor of Science in Agricultural Biotechnology,molestie,185
2008-22456,Krispin Sahlstrom,1992-04-29,Bachelor of Science in Applied Physics,luctus et ultrices,153
1994-64151,Shellysheldon Physick,1994-08-07,Bachelor of Science in Civil Engineering,at feugiat,191
2015-86962,Saloma Huston,1992-12-24,Bachelor of Science in Agricultural Extension,commodo vulputate,186
1999-81502,Bevvy Hotchkin,1997-10-23,Bachelor of Science in Forestry,tempor convallis nulla,134
1998-33012,Denyse Giovanni,1998-04-04,Bachelor of Science in Applied Mathematics,in,31
2010-58286,Michaeline Colliard,1992-01-23,Bachelor of Science in Agricultural Engineering,posuere cubilia curae,2
2014-72601,Elsy Bickerdike,1991-07-30,Bachelor of Science in Electrical Engineering,ipsum,33
2017-52545,Sebastian Duthie,1991-08-23,Bachelor of Science in Computer Science,aenean sit amet,167
2012-61473,Camel Mcwhinney,1999-04-07,Bachelor of Science in Agriculture,amet consectetuer adipiscing,44
2013-21386,Jenda Guerri,1997-02-24,Bachelor of Science in Agricultural Chemistry,platea,70
2014-82513,Carri Fend,1991-05-10,Bachelor of Science in Civil Engineering,mi in porttitor,48
1992-16719,Angelia Jandac,1992-04-16,Bachelor of Science in Economics,eu,69
2004-12535,Kerr Thurborn,1990-08-15,Bachelor of Science in Forestry,vestibulum proin eu,97
1991-05070,Jorge Caddy,1996-12-14,Bachelor of Science in Agribusiness Management,orci,69
2018-28820,Eleonora Krammer,1995-09-02,Bachelor of Science in Chemical Engineering,semper sapien,94
1994-16931,Elaina Giacovelli,1999-10-08,Bachelor of Arts in Communication Arts,sapien dignissim,190
1992-83564,Joice Moreman,1997-10-29,Bachelor of Science in Botany,blandit ultrices enim,118
2014-13775,Emmye Bastie,1997-05-30,Bachelor of Science in Electrical Engineering,neque,165
1990-33178,Chrissie Sexstone,1996-08-24,Bachelor of Science in Agricultural Economics,lobortis,18
2017-02701,Terrye Fylan,1997-07-02,Bachelor of Science in Biology,semper sapien,5
2006-11932,Stafani Willcot,1998-07-17,Bachelor of Science in Agriculture,ante vivamus tortor,78
2019-78741,Natty Jolliman,1997-11-15,Bachelor of Science in Biology,rhoncus aliquam,37
1995-46958,Simone Giorgiutti,1996-11-28,Bachelor of Science in Nutrition,vel nisl,134
1993-48462,Janessa Kenna,2000-05-18,Bachelor of Science in Electrical Engineering,tempus,12
2007-28831,Bank Sains,1990-08-17,Bachelor of Science in Agricultural Economics,in,131
2011-38826,Bethany Billington,1998-04-19,Bachelor of Science in Math and Science Teaching,donec ut,79
2000-02754,Doretta MacGarrity,1999-08-25,Bachelor of Science in Forest Products Engineering,enim,53
2018-21735,Miguel Coghlin,1993-11-25,Bachelor of Science in Agricultural Business,eu felis fusce,8
2015-82792,Dorey Weavers,1993-04-23,Bachelor of Science in Electrical Engineering,magnis,97
2011-87249,Rois Hollibone,1998-03-02,Bachelor of Science in Agribusiness Management,integer aliquet,56
2001-68784,Elijah Fussell,1998-12-12,Bachelor of Science in Human Ecology,ultrices,57
1991-02167,Kalina Eakle,1991-02-03,Bachelor of Science in Agricultural Chemistry,vulputate vitae,72
2016-39887,Consuela Wightman,1993-06-06,Bachelor of Science in Economics,vel nulla eget,141
1994-69590,Jobie Bilofsky,1993-05-09,Bachelor of Science in Home Technology,bibendum imperdiet nullam,3
2013-01334,Ewan Lantaff,1991-10-24,Bachelor of Science in Biology,id,116
1992-29365,Amargo Snarie,1991-01-05,Bachelor of Science in Economics,enim in tempor,118
2018-72795,Henka Tours,1991-06-13,Bachelor of Science in Agricultural Biotechnology,bibendum felis,146
1993-64884,Lydon Rivelin,1998-01-13,Bachelor of Science in Chemical Engineering,in faucibus,37
1992-61646,Clayborne Searchfield,1997-07-22,Bachelor of Science in Agricultural Economics,cubilia curae,86
1993-18977,Jeffry Tunuy,1990-04-29,Bachelor of Arts in Sociology,nec,101
2016-07713,Janene Martell,1997-07-06,Bachelor of Arts in Sociology,varius integer,88
2014-47598,Kellina Croneen,1994-11-04,Bachelor of Science in Statistics,ut,121
2016-11800,Frederigo Spriggin,1991-03-05,Bachelor of Science in Sugar Technology,proin eu mi,1
2004-39987,Russell Casarino,1996-08-21,Bachelor of Science in Statistics,dui vel,186
2017-67619,Morgan Chartres,1997-12-07,Bachelor of Science in Statistics,quis orci,85
2018-63899,Mart Loche,1998-09-25,Bachelor of Arts in Sociology,risus,176
2012-84486,Waly Late,1997-06-22,Bachelor of Science in Applied Mathematics,nascetur ridiculus,47
2017-88044,Janeczka Aiskovitch,1999-04-15,Bachelor of Science in Human Ecology,feugiat non,139
1995-13630,Carry Strangeways,1999-03-30,Bachelor of Science in Civil Engineering,integer tincidunt ante,140
2016-71056,Annis Rahl,1992-06-15,Bachelor of Science in Chemistry,tempus vel pede,137
2015-70841,Jemmy Junkinson,2000-02-20,Bachelor of Science in Agricultural Engineering,at,109
2019-59010,Fawnia Barnwell,1997-10-12,Bachelor of Science in Human Ecology,ultrices enim,194
2004-93909,Ora Wornham,1990-06-08,Bachelor of Science in Agriculture,nec condimentum,78
2014-46632,Ron Ferri,2000-09-29,Bachelor of Science in Zoology,nisl,59
1999-40184,Terri Belverstone,1996-12-04,Bachelor of Science in Chemical Engineering,nisi at nibh,93
2012-78419,Reinold Muckley,1992-01-04,Bachelor of Science in Chemistry,sit amet,121
2011-04520,Cass Fakeley,1997-06-06,Bachelor of Science in Biology,magnis dis,174
